"chevrolet,chevelle,malibu",130.0,3504,8,12.0
"buick,skylark,320",165.0,3693,8,11.5
"plymouth,satellite",150.0,3436,8,11.0
"amc,rebel,sst",150.0,3433,8,12.0
"ford,torino",140.0,3449,8,10.5
"ford,galaxie,500",198.0,4341,8,10.0
"chevrolet,impala",220.0,4354,8,9.0
"plymouth,fury,iii",215.0,4312,8,8.5
"pontiac,catalina",225.0,4425,8,10.0
"amc,ambassador,dpl",190.0,3850,8,8.5
"dodge,challenger,se",170.0,3563,8,10.0
"plymouth,'cuda,340",160.0,3609,8,8.0
"chevrolet,monte,carlo",150.0,3761,8,9.5
"buick,estate,wagon,(sw)",225.0,3086,8,10.0
"toyota,corona,mark,ii",95.0,2372,4,15.0
"plymouth,duster",95.0,2833,6,15.5
"amc,hornet",97.0,2774,6,15.5
"ford,maverick",85.0,2587,6,16.0
"datsun,pl510",88.0,2130,4,14.5
"volkswagen,1131,deluxe,sedan",46.0,1835,4,20.5
"peugeot,504",87.0,2672,4,17.5
"audi,100,ls",90.0,2430,4,14.5
"saab,99e",95.0,2375,4,17.5
"bmw,2002",113.0,2234,4,12.5
"amc,gremlin",90.0,2648,6,15.0
"ford,f250",215.0,4615,8,14.0
"chevy,c20",200.0,4376,8,15.0
"dodge,d200",210.0,4382,8,13.5
"hi,1200d",193.0,4732,8,18.5
"datsun,pl510",88.0,2130,4,14.5
"chevrolet,vega,2300",90.0,2264,4,15.5
"toyota,corona",95.0,2228,4,14.0
"amc,gremlin",100.0,2634,6,13.0
"plymouth,satellite,custom",105.0,3439,6,15.5
"chevrolet,chevelle,malibu",100.0,3329,6,15.5
"ford,torino,500",88.0,3302,6,15.5
"amc,matador",100.0,3288,6,15.5
"chevrolet,impala",165.0,4209,8,12.0
"pontiac,catalina,brougham",175.0,4464,8,11.5
"ford,galaxie,500",153.0,4154,8,13.5
"plymouth,fury,iii",150.0,4096,8,13.0
"dodge,monaco,(sw)",180.0,4955,8,11.5
"ford,country,squire,(sw)",170.0,4746,8,12.0
"pontiac,safari,(sw)",175.0,5140,8,12.0
"amc,hornet,sportabout,(sw)",110.0,2962,6,13.5
"chevrolet,vega,(sw)",72.0,2408,4,19.0
"pontiac,firebird",100.0,3282,6,15.0
"ford,mustang",88.0,3139,6,14.5
"mercury,capri,2000",86.0,2220,4,14.0
"opel,1900",90.0,2123,4,14.0
"peugeot,304",70.0,2074,4,19.5
"fiat,124b",76.0,2065,4,14.5
"toyota,corolla,1200",65.0,1773,4,19.0
"datsun,1200",69.0,1613,4,18.0
"volkswagen,model,111",60.0,1834,4,19.0
"plymouth,cricket",70.0,1955,4,20.5
"toyota,corona,hardtop",95.0,2278,4,15.5
